handle,title,vendor,formattedcode,formattedcodeunique,gram,qty,price,archived,archivedon,addedon,lastfetcheddate
winter-river-revf9303-victoria-falls,Winter River REVF9303 Victoria Falls,republicfloor,REVF9303,republicfloor-REVF9303,22679.6185,100000,111.06,,,,
nordic-ice-rews9004-wood-stone,Nordic Ice REWS9004 Wood Stone,republicfloor,REWS9004,republicfloor-REWS9004,22679.6185,100000,82.58,,,,
royal-dark-grey-resr9401-siberian-river,Royal Dark Grey RESR9401 Siberian River,republicfloor,RESR9401,republicfloor-RESR9401,22679.6185,100000,118.66,,,,
copenhagen-reco425-european-plus,Copenhagen RECO425 European Plus,republicfloor,RECO425,republicfloor-RECO425,22679.6185,100000,64.71,,,,
walnut-harrington-refr630-frontier,Walnut Harrington REFR630 Frontier,republicfloor,REFR630,republicfloor-REFR630,0,0,0,,,,
smoked-almond-refr680-frontier,Smoked Almond REFR680 Frontier,republicfloor,REFR680,republicfloor-REFR680,0,0,0,,,,
whiskey-sapele-refr690-frontier,Whiskey Sapele REFR690 Frontier,republicfloor,REFR690,republicfloor-REFR690,0,0,0,,,,
safari-sunset-recr6105-clare-valley,Vinyl Safari Sunset RECR6105 Clare Valley,republicfloor,RECR6105,republicfloor-RECR6105,22679.6185,100000,70.95,,,,
sunset-light-recr6104-clare-valley,Vinyl Sunset Light RECR6104 Clare Valley,republicfloor,RECR6104,republicfloor-RECR6104,22679.6185,100000,70.95,,,,
sage-brush-recr6102-clare-valley,Vinyl Sage Brush RECR6102 Clare Valley,republicfloor,RECR6102,republicfloor-RECR6102,22679.6185,100000,70.95,,,,
royal-cream-recr6101-clare-valley,Vinyl Royal Cream RECR6101 Clare Valley,republicfloor,RECR6101,republicfloor-RECR6101,22679.6185,100000,70.95,,,,
imperial-golden-rebc62103-big-cypress,Vinyl Imperial Golden REBC62103 Big Cypress,republicfloor,REBC62103,republicfloor-REBC62103,22679.6185,100000,70.95,,,,
vermont-brown-rebc61101-big-cypress,Vinyl Vermont Brown REBC61101 Big Cypress,republicfloor,REBC61101,republicfloor-REBC61101,22679.6185,100000,70.95,,,,
java-beige-rebc62102-big-cypress,Vinyl Java Beige REBC62102 Big Cypress,republicfloor,REBC62102,republicfloor-REBC62102,22679.6185,100000,70.95,,,,
black-oak-remo2506-mountain-oak,Vinyl Black Oak REMO2506 Mountain Oak,republicfloor,REMO2506,republicfloor-REMO2506,27215.5422,100000,186.63,,,,
atlas-remo2505-mountain-oak,Vinyl Atlas REMO2505 Mountain Oak,republicfloor,REMO2505,republicfloor-REMO2505,0,0,0,,,,
carmel-remo2504-mountain-oak,Vinyl Carmel REMO2504 Mountain Oak,republicfloor,REMO2504,republicfloor-REMO2504,0,0,0,,,,
etna-remo2503-mountain-oak,Etna REMO2503 Mountain Oak,republicfloor,REMO2503,republicfloor-REMO2503,27215.5422,100000,186.63,,,,
mont-blanc-remo2502-mountain-oak,Vinyl Mont Blanc REMO2502 Mountain Oak,republicfloor,REMO2502,republicfloor-REMO2502,27215.5422,100000,186.63,,,,
denali-remo2501-mountain-oak,Denali REMO2501 Mountain Oak,republicfloor,REMO2501,republicfloor-REMO2501,27215.5422,100000,186.63,,,,
cloudy-gray-rens602074,Vinyl Cloudy Gray RENS6020 Nature Stone,republicfloor,RENS6020,republicfloor-RENS6020,22679.6185,100000,69.86,,,,
coastal-dakota-rens601073,Vinyl Coastal Dakota RENS6010 Nature Stone,republicfloor,RENS6010,republicfloor-RENS6010,22679.6185,100000,69.86,,,,
post-oak-rewo410772,Vinyl Post Oak REWO4107 The Woodland,republicfloor,REWO4107,republicfloor-REWO4107,22679.6185,100000,84.98,,,,
chestnut-oak-rewo410671,Chestnut Oak REWO4106 The Woodland,republicfloor,REWO4106,republicfloor-REWO4106,22679.6185,100000,84.98,,,,
arizona-white-oak-rewo410570,Vinyl Arizona White Oak REWO4105 The Woodland,republicfloor,REWO4105,republicfloor-REWO4105,22679.6185,100000,84.98,,,,
bear-oak-rewo410469,Vinyl Bear Oak REWO4104 The Woodland,republicfloor,REWO4104,republicfloor-REWO4104,22679.6185,100000,84.98,,,,
southern-oak-rewo410368,Vinyl Southern Oak REWO4103 The Woodland,republicfloor,REWO4103,republicfloor-REWO4103,22679.6185,100000,84.98,,,,
canyon-oak-rewo410267,Vinyl Canyon Oak REWO4102 The Woodland,republicfloor,REWO4102,republicfloor-REWO4102,22679.6185,100000,84.98,,,,
valley-oak-rewo410166,Vinyl Valley Oak REWO4101 The Woodland,republicfloor,REWO4101,republicfloor-REWO4101,22679.6185,100000,84.98,,,,
monterey-cypress-repo400565,Vinyl Monterey Cypress REPO4005 The Pacific Oak,republicfloor,REPO4005,republicfloor-REPO4005,22679.6185,100000,78.07,,,,
western-fir-repo400464,Vinyl Western Fir REPO4004 The Pacific Oak,republicfloor,REPO4004,republicfloor-REPO4004,22679.6185,100000,78.07,,,,
california-buckeye-repo400363,Vinyl California Buckeye REPO4003 The Pacific Oak,republicfloor,REPO4003,republicfloor-REPO4003,22679.6185,100000,78.07,,,,
coyote-brush-repo400161,Vinyl Coyote Brush REPO4001 The Pacific Oak,republicfloor,REPO4001,republicfloor-REPO4001,22679.6185,100000,78.07,,,,
gray-mist-rewh550560,Gray Mist REWH5505,republicfloor,REWH5505,republicfloor-REWH5505,22679.6185,1000000,70.95,,,,
mountain-tan-rewh550459,Vinyl Mountain Tan REWH5504 The Walnut Hills,republicfloor,REWH5504,republicfloor-REWH5504,22679.6185,100000,80.41,,,,
light-sand-rewh550358,Vinyl Light Sand REWH5503 The Walnut Hills,republicfloor,REWH5503,republicfloor-REWH5503,22679.6185,100000,80.41,,,,
graphite-grey-rewh550257,Graphite Grey REWH5502 The Walnut Hills,republicfloor,REWH5502,republicfloor-REWH5502,22679.6185,100000,80.41,,,,
granito-nero-rewh550156,Granito Nero REWH5501 The Walnut Hills,republicfloor,REWH5501,republicfloor-REWH5501,22679.6185,100000,80.41,,,,
toros-grey-recc530355,Vinyl Toros Grey RECC5303 Clover Creek,republicfloor,RECC5303,republicfloor-RECC5303,22679.6185,100000,80.44,,,,
tiger-beige-recc530254,Vinyl Tiger Beige RECC5302 Clover Creek,republicfloor,RECC5302,republicfloor-RECC5302,22679.6185,100000,80.44,,,,
tropical-malaga-recc530153,Vinyl Tropical Malaga RECC5301 Clover Creek,republicfloor,RECC5301,republicfloor-RECC5301,22679.6185,100000,80.44,,,,
virginia-mist-regp520652,Vinyl Virginia Mist REGP5206 Glacier Point,republicfloor,REGP5206,republicfloor-REGP5206,22679.6185,10000,97.67,,,,
super-gray-regp520551,Vinyl Super Gray REGP5205 Glacier Point,republicfloor,REGP5205,republicfloor-REGP5205,22679.6185,10000,97.67,,,,
sydney-cedar-regp520450,Vinyl Sydney Cedar REGP5204 Glacier Point,republicfloor,REGP5204,republicfloor-REGP5204,22679.6185,10000,97.67,,,,
silver-pearl-regp520349,Vinyl Silver Pearl REGP5203 Glacier Point,republicfloor,REGP5203,republicfloor-REGP5203,22679.6185,10000,97.67,,,,
safari-brown-regp520248,Safari Brown REGP5202,republicfloor,REGP5202,republicfloor-REGP5202,0,0,0,,,,
sahara-beige-regp520147,Vinyl Sahara Beige REGP5201 Glacier Point,republicfloor,REGP5201,republicfloor-REGP5201,22679.6185,10000,97.67,,,,
dynamic-beige-resl510546,Dynamic Beige RESL5105 Silver Lake,republicfloor,RESL5105,republicfloor-RESL5105,22679.6185,10000,97.67,,,,
amazon-grey-resl510445,Vinyl Amazon Grey RESL5104 Silver Lake,republicfloor,RESL5104,republicfloor-RESL5104,22679.6185,10000,97.67,,,,
lemon-ice-resl510344,Lemon Ice RESL5103,republicfloor,RESL5103,republicfloor-RESL5103,0,0,0,,,,
bross-blue-resl510243,Bross Blue RESL5102,republicfloor,RESL5102,republicfloor-RESL5102,0,0,0,,,,
antique-ice-resl510142,Vinyl Antique Ice RESL5101 Silver Lake,republicfloor,RESL5101,republicfloor-RESL5101,22679.6185,10000,97.67,,,,
aspen-recs210537,Aspen RECS2105,republicfloor,RECS2105,republicfloor-RECS2105,27215.5422,1000000,186.63,,,,
tulip-tree-recs210436,Tulip Tree RECS2104,republicfloor,RECS2104,republicfloor-RECS2104,27215.5422,1000000,186.63,,,,
hawthorn-recs210335,Vinyl Hawthorn RECS2103 COUNTRYSIDE,republicfloor,RECS2103,republicfloor-RECS2103,27215.5422,1000000,186.63,,,,
american-hornbeam-recs210234,American Hornbeam RECS2102,republicfloor,RECS2102,republicfloor-RECS2102,27215.5422,1000000,186.63,,,,
eastern-cottonwood-recs210133,Eastern Cottonwood RECS2101,republicfloor,RECS2101,republicfloor-RECS2101,27215.5422,1000000,186.63,,,,
carmel-highlands-recb270232,Vinyl Carmel Highlands RECB2702 Carmel By The Sea,republicfloor,RECB2702,republicfloor-RECB2702,18143.6948,100000,108.51,,,,
marthas-vineyard-beach-rewpc49031,Vinyl Martha's Vineyard Beach REWPC490 Beach House,republicfloor,REWPC490,republicfloor-REWPC490,22679.6185,9000,68.32,,,,
nantucket-beach-rewpc48030,Nantucket beach REWPC480,republicfloor,REWPC480,republicfloor-REWPC480,0,0,0,,,,
east-hampton-beach-rewpc47029,East Hampton Beach REWPC470 Baeach House,republicfloor,REWPC470,republicfloor-REWPC470,0,0,0,,,,
clearwater-beach-rewpc44028,Clearwater Beach REWPC440 Beach House,republicfloor,REWPC440,republicfloor-REWPC440,0,0,0,,,,
myrtle-beach-rewpc41027,Vinyl Myrtle Beach REWPC410 Beach House,republicfloor,REWPC410,republicfloor-REWPC410,0,0,0,,,,
victoria-rela320226,Victoria RELA3202 The Lake,republicfloor,RELA3202,republicfloor-RELA3202,0,0,0,,,,
como-rela320125,Como RELA3201 The Lake,republicfloor,RELA3201,republicfloor-RELA3201,0,0,0,,,,
french-guiana-refi420524,French Guiana REFI4205 The French Island,republicfloor,REFI4205,republicfloor-REFI4205,0,0,0,,,,
martinique-refi420423,Vinyl Martinique REFI4204 The French Island,republicfloor,REFI4204,republicfloor-REFI4204,27215.5422,100000,159.13,,,,
saint-martin-refi420322,Saint Martin REFI4203,republicfloor,REFI4203,republicfloor-REFI4203,0,0,0,,,,
reunion-refi420221,Reunion REFI4202 The French Island,republicfloor,REFI4202,republicfloor-REFI4202,27215.5422,100000,159.13,,,,
corsica-refi420120,Corsica REFI4201 The French Usland,republicfloor,REFI4201,republicfloor-REFI4201,27215.5422,100000,159.13,,,,
blue-oak-reco240719,Vinyl Blue Oak RECO2407 Coastal,republicfloor,RECO2407,republicfloor-RECO2407,22679.6185,100000,124.54,,,,
channel-island-scrub-oak-reco240618,Channel Island Scrub Oak RECO2406 Coastal,republicfloor,RECO2406,republicfloor-RECO2406,0,0,0,,,,
sand-live-oak-reco240517,Sand Live Oak RECO2405,republicfloor,RECO2405,republicfloor-RECO2405,0,0,0,,,,
canyon-live-oak-reco240416,Canyon Live Oak RECO2404,republicfloor,RECO2404,republicfloor-RECO2404,0,0,0,,,,
cedros-island-oak-reco240315,Cedros Island Oak RECO2403,republicfloor,RECO2403,republicfloor-RECO2403,0,0,0,,,,
carmen-oak-reco240214,Vinyl Carmen Oak RECO2402 Coastal,republicfloor,RECO2402,republicfloor-RECO2402,22679.6185,100000,124.54,,,,
coastal-live-oak-reco240113,Coastal Live Oak RECO2401 Coastal,republicfloor,RECO2401,republicfloor-RECO2401,22679.6185,100000,124.54,,,,
harvard-oak-reor230712,Harvard Oak REOR2307 Great Oregon,republicfloor,REOR2307,republicfloor-REOR2307,27215.5422,100000,186.63,,,,
gray-oak-reor230611,Gray Oak REOR2306 Great Oregon,republicfloor,REOR2306,republicfloor-REOR2306,27215.5422,100000,186.63,,,,
sessile-oak-reor230510,Sessile Oak REOR2305,republicfloor,REOR2305,republicfloor-REOR2305,19958.06428,10000,149.23,,,,
oregon-white-oak-reor23049,Oregon White Oak REOR2304 Great Oregon,republicfloor,REOR2304,republicfloor-REOR2304,27215.5422,100000,186.63,,,,
japanese-oak-reor23038,Japanese Oak REOR2303 Great Oregon,republicfloor,REOR2303,republicfloor-REOR2303,27215.5422,100000,186.63,,,,
holm-oak-reor23027,Holm Oak REOR2302 Great Oregon,republicfloor,REOR2302,republicfloor-REOR2302,27215.5422,100000,186.63,,,,
water-oak-reor23016,Water Oak REOR2301 Great Oregon,republicfloor,REOR2301,republicfloor-REOR2301,27215.5422,100000,186.63,,,,
bluff-oak-reca22065,Vinyl Bluff Oak RECA2206 Great California,republicfloor,RECA2206,republicfloor-RECA2206,0,0,0,,,,
cherrybark-oak-reca22054,Cherrybark Oak RECA2205 Great California,republicfloor,RECA2205,republicfloor-RECA2205,0,0,0,,,,
willow-oak-reca22043,Willow Oak RECA2204 Great California,republicfloor,RECA2204,republicfloor-RECA2204,27215.5422,100000,186.63,,,,
laurel-oak-reca22022,Vinyl Laurel Oak RECA2202 Great California,republicfloor,RECA2202,republicfloor-RECA2202,27215.5422,100000,186.63,,,,
california-black-oak-reca22011,Vinyl California Black Oak RECA2201 Great California,republicfloor,RECA2201,republicfloor-RECA2201,27215.5422,100000,186.63,,,,
grasse-refr105054,Grasse REFR1050,republicfloor,REFR1050,republicfloor-REFR1050,0,0,0,,,,
saint-jean-refr104053,Saint Jean REFR1040,republicfloor,REFR1040,republicfloor-REFR1040,0,0,0,,,,
saint-laurent-refr103052,Saint Laurent REFR1030,republicfloor,REFR1030,republicfloor-REFR1030,0,0,0,,,,
cannes-refr102051,Cannes REFR1020,republicfloor,REFR1020,republicfloor-REFR1020,0,0,0,,,,
saint-tropez-refr101050,Saint Tropez REFR1010,republicfloor,REFR1010,republicfloor-REFR1010,0,0,0,,,,
aztec-gold-reva89049,Aztec Gold REVA890,republicfloor,REVA890,republicfloor-REVA890,0,0,0,,,,
monarch-chateau-revmc85048,Monarch Chateau REVMC850,republicfloor,REVMC850,republicfloor-REVMC850,0,0,0,,,,
york-town-revyo83047,York Town REVYO830,republicfloor,REVYO830,republicfloor-REVYO830,0,0,0,,,,
dark-knight-revdk81046,Dark Knight REVDK810,republicfloor,REVDK810,republicfloor-REVDK810,0,0,0,,,,
dark-almo-revda80045,Dark Almo REVDA800,republicfloor,REVDA800,republicfloor-REVDA800,0,0,0,,,,
french-gray-reet95044,French Gray REET950 Fortress Random Length,republicfloor,REET950,republicfloor-REET950,0,0,0,,,,
golden-ash-reet91043,Golden Ash REET910 Fortress Random Length,republicfloor,REET910,republicfloor-REET910,22679.6185,100000,66.95,,,,
country-maple-reetbw88442,Country Maple REETBW884 Fortress Random Length,republicfloor,REETBW884,republicfloor-REETBW884,22679.6185,100000,66.95,,,,
country-walnut-reetbw88541,Country Walnut REETBW885 Fortress Random Length,republicfloor,REETBW885,republicfloor-REETBW885,22679.6185,100000,66.95,,,,
country-cedar-reetbw88340,Country Cedar REETBW883 Fortress Random Length,republicfloor,REETBW883,republicfloor-REETBW883,22679.6185,100000,66.95,,,,
pecan-reet-7939,Pecan REET-79 Fortress,republicfloor,REET-79,republicfloor-REET-79,22679.6185,1000000,60.21,,,,
java-reet-7838,Laminate Java REET-78 Fortress,republicfloor,REET-78,republicfloor-REET-78,22679.6185,1000000,60.21,,,,
chestnut-reet-7737,Chestnut REET-77 Fortress,republicfloor,REET-77,republicfloor-REET-77,22679.6185,1000000,60.21,,,,
latte-reet-7636,Latte REET-76 Fortress,republicfloor,REET-76,republicfloor-REET-76,22679.6185,1000000,60.21,,,,
cathedral-gray-reet-7535,Laminate Cathedral Gray REET-75 Fortress,republicfloor,REET-75,republicfloor-REET-75,22679.6185,1000000,60.21,,,,
sand-dollar-reet-3634,Sand Dollar REET-36 Fortress,republicfloor,REET-36,republicfloor-REET-36,0,0,0,,,,
ibiza-reet-3233,Ibiza REET-32 Fortress,republicfloor,REET-32,republicfloor-REET-32,22679.6185,100000,71.15,,,,
rio-reet-3132,Rio REET-31 Fortress,republicfloor,REET-31,republicfloor-REET-31,0,100000,71.15,,,,
havana-reet-3031,Havana REET-30 Fortress,republicfloor,REET-30,republicfloor-REET-30,22679.6185,100000,71.15,,,,
west-village-reur780-1230,West Village REUR780-12 Urbanica 12mm,republicfloor,REUR780-12,republicfloor-REUR780-12,0,0,0,,,,
fifth-avenue-reur770-1229,Fifth Avenue REUR770-12 Urbanica 12mm,republicfloor,REUR770-12,republicfloor-REUR770-12,22679.6185,100000,61,,,,
soho-reur760-1228,Soho REUR760-12 Urbanica 12mm,republicfloor,REUR760-12,republicfloor-REUR760-12,22679.6185,100000,61,,,,
ocean-reur750-1227,Ocean REUR750-12 Urbanica 12mm,republicfloor,REUR750-12,republicfloor-REUR750-12,22679.6185,100000,61,,,,
arts-district-reur795-826,Laminate Arts District REUR795-8 Urbanica 8.2mm,republicfloor,REUR795-8,republicfloor-REUR795-8,18143.6948,100000,48.18,,,,
lincoln-park-reur745-825,Laminate Lincoln Park REUR745-8 Urbanica 8.2mm,republicfloor,REUR745-8,republicfloor-REUR745-8,18143.6948,100000,48.18,,,,
sunset-strip-reur765-824,Laminate Sunset Strip REUR765-8 Urbanica 8.2mm,republicfloor,REUR765-8,republicfloor-REUR765-8,18143.6948,100000,48.18,,,,
michigan-avenue-reur785-823,Laminate Michigan Avenue REUR785-8 Urbanica 8.2mm,republicfloor,REUR785-8,republicfloor-REUR785-8,18143.6948,100000,48.18,,,,
helsinki-rehe4922,Laminate 12.3mm Helsinki REHE49 European Lite Collection,republicfloor,REHE49,republicfloor-REHE49,22679.6185,100000,55.38,,,,
rome-rero4721,Laminate 12.3mm Rome RERO47 European Lite Collection,republicfloor,RERO47,republicfloor-RERO47,22679.6185,100000,55.38,,,,
amsterdam-ream4120,Laminate 12.3mm Amsterdam REAM41 European Lite Collection,republicfloor,REAM41,republicfloor-REAM41,22679.6185,100000,55.38,,,,
milano-remi4419,Laminate 12.3mm Milano REMI44 European Lite Collection,republicfloor,REMI44,republicfloor-REMI44,22679.6185,100000,55.38,,,,
warmblood-rewa55018,Warmblood REWA550 American Cavalier,republicfloor,REWA550,republicfloor-REWA550,0,0,0,,,,
mustang-remu53017,Laminate Mustang REMU530 American Cavalier,republicfloor,REMU530,republicfloor-REMU530,0,0,0,,,,
suddlebred-resu52016,Suddlebred RESU520 American Cavalier,republicfloor,RESU520,republicfloor-RESU520,0,0,0,,,,
marchador-rema51015,Laminate Marchador REMA510 American Cavalier,republicfloor,REMA510,republicfloor-REMA510,0,0,0,,,,
morgan-remo50014,Laminate Morgan REMO500 American Cavalier,republicfloor,REMO500,republicfloor-REMO500,0,0,0,,,,
blue-louise-repw401013,Blue Louise REPW4010,republicfloor,REPW4010,republicfloor-REPW4010,0,0,0,,,,
brazilian-tiger-wood-rebt290-l12,Laminate BRAZILIAN TIGER WOOD REBT290-L Platinum,republicfloor,REBT290-L,republicfloor-REBT290-L,20411.65665,100000,51,,,,
natural-acacia-rena280-l11,Laminate NATURAL Acacia RENA280-L Platinum,republicfloor,RENA280-L,republicfloor-RENA280-L,20411.65665,100000,51,,,,
new-york-birch-reny250-l10,NEW YORK BIRCH RENY250-L,republicfloor,RENY250-L,republicfloor-RENY250-L,0,0,0,,,,
oklahoma-birch-reob230-l9,OKLAHOMA BIRCH REOB230-L,republicfloor,REOB230-L,republicfloor-REOB230-L,0,0,0,,,,
golden-apple-rega220-l8,GOLDEN APPLE REGA220-L Platinum,republicfloor,REGA220-L,republicfloor-REGA220-L,20411.65665,100000,51,,,,
rustic-apple-rera210-l7,RUSTIC APPLE RERA210-L Platinum,republicfloor,RERA210-L,republicfloor-RERA210-L,20411.65665,100000,51,,,,
nightfall-hickory-renh606,Nightfall HIckory RENH60,republicfloor,RENH60,republicfloor-RENH60,0,0,0,,,,
midnight-hickory-remh205,Midnight Hickory REMH20,republicfloor,REMH20,republicfloor-REMH20,0,0,0,,,,
dark-wenge-rewjm734,Dark Wenge REWJM73,republicfloor,REWJM73,republicfloor-REWJM73,16329.32532,100000,57.02,,,,
patigonian-rosewood-repepr123,Patigonian Rosewood REPEPR12,republicfloor,REPEPR12,republicfloor-REPEPR12,0,0,0,,,,
wild-walnut-repeww2,Wild Walnut REPEWW,republicfloor,REPEWW,republicfloor-REPEWW,0,0,0,,,,
golden-walnut-repegw1,Golden Walnut REPEGW,republicfloor,REPEGW,republicfloor-REPEGW,0,0,0,,,,
coffee-berry-repo400262,Vinyl Coffee Berry REPO4002 The Pacific Oak,republicfloor,REPO4002,republicfloor-REPO4002,22679.6185,100000,78.07,,,,
hardwood-european-oak-miranda-ame-gc22012-grand-chateau,Hardwood European Oak Miranda AME-GC22012 Grand Chateau,johnsonhardwood,AME-GC22012,johnsonhardwood-AME-GC22012,24947.58035,100000,184.36,,,,
hardwood-european-oak-aydon-ame-gc22011-grand-chateau,Hardwood European Oak Aydon AME-GC22011 Grand Chateau,johnsonhardwood,AME-GC22011,johnsonhardwood-AME-GC22011,24947.58035,100000,184.36,,,,
hardwood-european-oak-taunton-ame-gc22010-grand-chateau,Hardwood European Oak Taunton AME-GC22010 Grand Chateau,johnsonhardwood,AME-GC22010,johnsonhardwood-AME-GC22010,24947.58035,100000,184.36,,,,
hardwood-european-oak-dover-ame-gc22009-grand-chateau,Hardwood European Oak Dover AME-GC22009 Grand Chateau,johnsonhardwood,AME-GC22009,johnsonhardwood-AME-GC22009,24947.58035,100000,184.36,,,,
hardwood-european-oak-malahide-ame-gc22008-grand-chateau,Hardwood European Oak Malahide AME-GC22008 Grand Chateau,johnsonhardwood,AME-GC22008,johnsonhardwood-AME-GC22008,24947.58035,100000,184.36,,,,
hardwood-european-oak-caerphilly-ame-gc22007-grand-chateau,Hardwood European Oak Caerphilly AME-GC22007 Grand Chateau,johnsonhardwood,AME-GC22007,johnsonhardwood-AME-GC22007,24947.58035,99998,184.36,,,,
hardwood-european-oak-corvin-ame-gc22006-grand-chateau,Hardwood European Oak Corvin AME-GC22006 Grand Chateau,johnsonhardwood,AME-GC22006,johnsonhardwood-AME-GC22006,24947.58035,100000,184.36,,,,
hardwood-european-oak-chillon-ame-gc22005-grand-chateau,Hardwood European Oak Chillon AME-GC22005 Grand Chateau,johnsonhardwood,AME-GC22005,johnsonhardwood-AME-GC22005,24947.58035,100000,184.36,,,,
hardwood-european-oak-alswick-ame-gc22004,Hardwood European Oak Alswick AME-GC22004 Grand Chateau,johnsonhardwood,AME-GC22004,johnsonhardwood-AME-GC22004,0,0,0,,,,
hardwood-european-oak-valer-ame-gc22003,Hardwood European Oak Valer AME-GC22003 Grand Chateau,johnsonhardwood,AME-GC22003,johnsonhardwood-AME-GC22003,0,0,0,,,,
hardwood-european-oak-barnard-ame-gc22002-grand-chateau,Hardwood European Oak Barnard AME-GC22002 Grand Chateau,johnsonhardwood,AME-GC22002,johnsonhardwood-AME-GC22002,24947.58035,100000,184.36,,,,
hardwood-european-oak-chambord-ame-gc22001-grand-chateau,Hardwood European Oak Chambord AME-GC22001 Grand Chateau,johnsonhardwood,AME-GC22001,johnsonhardwood-AME-GC22001,24947.58035,100000,174.97,,,,
ripton-ame-sgmm11012-geen-mountain,Hardwood Ripton AME-SGMM11012 Geen Mountain,johnsonhardwood,AME-SGMM11012,johnsonhardwood-AME-SGMM11012,27215.5422,10000,131.14,,,,
searsburg-ame-sgmm11011-green-mountain,Hardwood Searsburg AME-SGMM11011 Green Mountain,johnsonhardwood,AME-SGMM11011,johnsonhardwood-AME-SGMM11011,22679.6185,10000,131.14,,,,
westmore-ame-sgmm11010-green-mountain,Westmore AME-SGMM11010 Green Mountain,johnsonhardwood,AME-SGMM11010,johnsonhardwood-AME-SGMM11010,22679.6185,10000,131.14,,,,
underhill-ame-sgmm11009-green-mountain,Underhill AME-SGMM11009 Green Mountain,johnsonhardwood,AME-SGMM11009,johnsonhardwood-AME-SGMM11009,22679.6185,10000,131.14,,,,
swanton-ame-sgmm11008-green-mountain,Hardwood Swanton AME-SGMM11008 Green Mountain,johnsonhardwood,AME-SGMM11008,johnsonhardwood-AME-SGMM11008,22679.6185,10000,131.14,,,,
newbury-ame-sgmo11007-green-mountain,Hardwood Newbury AME-SGMO11007 Green Mountain,johnsonhardwood,AME-SGMO11007,johnsonhardwood-AME-SGMO11007,22679.6185,10000,125.17,,,,
ludlow-ame-sgmo11006-green-mountain,Hardwood Ludlow AME-SGMO11006 Green Mountain,johnsonhardwood,AME-SGMO11006,johnsonhardwood-AME-SGMO11006,22679.6185,10000,125.17,,,,
hardwick-ame-sgmo11005-green-mountain,Hardwood Hardwick AME-SGMO11005 Green Mountain,johnsonhardwood,AME-SGMO11005,johnsonhardwood-AME-SGMO11005,22679.6185,10000,125.17,,,,
granby-ame-sgmo11004-green-mountain,Hardwood Granby AME-SGMO11004 Green Mountain,johnsonhardwood,AME-SGMO11004,johnsonhardwood-AME-SGMO11004,22679.6185,10000,125.17,,,,
craftsbury-ame-sgmo11003-green-mountain,Hardwood Craftsbury AME-SGMO11003 Green Mountain,johnsonhardwood,AME-SGMO11003,johnsonhardwood-AME-SGMO11003,22679.6185,10000,125.17,,,,
derby-ame-sgmo11002-green-mountain,Hardwood Derby AME-SGMO11002 Green Mountain,johnsonhardwood,AME-SGMO11002,johnsonhardwood-AME-SGMO11002,22679.6185,10000,125.17,,,,
